No_Prob ; HTN ; CORE ; PDDL 
01 ; 0.04; 0.028;0.00698803
02 ; 0.04; 0.027;0.0069219
03 ; 0.04; 0.032;0.00657877
04 ; 0.04; 0.033;0.00661159
05 ; 0.04; 0.032;0.00670357
06 ; 0.05; 0.041;0.0230425
07 ; 0.05; 0.04;0.0226049
08 ; 0.05; 0.04;0.0225285
09 ; 0.06; 0.043;0.0218997
10 ; 0.05; 0.047;0.0224681
11 ; 0.06; 0.061;0.0508608
12 ; 0.07; 0.071;0.0508491
13 ; 0.06; 0.063;0.0485825
14 ; 0.06; 0.07;0.050899
15 ; 0.06; 0.067;0.0508184
16 ; 0.07; 0.093;0.125969
17 ; 0.07; 0.091;0.124521
18 ; 0.07; 0.092;0.124043
19 ; 0.07; 0.09;0.124427
20 ; 0.07; 0.091;0.122789
21 ; 0.08; 0.134;0.292729
22 ; 0.07; 0.127;0.234819
23 ; 0.08; 0.13;0.228952
24 ; 0.08; 0.124;0.287574
25 ; 0.08; 0.125;0.294669
26 ; 0.09; 0.354;0.53617
27 ; 0.09; 0.314;0.578221
28 ; 0.09; 0.326;0.54814
29 ; 0.09; 0.358;0.55049
30 ; 0.10; 0.354;0.554884
31 ; 0.10; 0.411;1.5224
32 ; 0.11; 0.434;1.57349
33 ; 0.10; 0.433;1.52752
34 ; 0.10; 0.321;1.53519
35 ; 0.10; 0.436;1.73507
36 ; 0.12; 0.264;4.73828
37 ; 0.13; 0.262;5.00981
38 ; 0.12; 0.268;4.41674
39 ; 0.12; 0.256;5.47623
40 ; 0.12; 0.257;4.87298
41 ; 0.14; 0.296;15.9209
42 ; 0.14; 0.312;17.733
43 ; 0.14; 0.29;14.6909
44 ; 0.14; 0.29;21.841
45 ; 0.13; 0.29;13.8818
46 ; 0.16; 0.399;54.4368
47 ; 0.15; 0.4;47.8481
48 ; 0.16; 0.398;39.6384
49 ; 0.15; 0.393;51.6292
50 ; 0.15; 0.405;57.795
51 ; 0.17; 0.537;180.014
52 ; 0.18; 0.549;108.11
53 ; 0.18; 0.543;193.944
54 ; 0.17; 0.546;215.25
55 ; 0.22; 0.542;116.938
56 ; 0.19; 0.723;-1
57 ; 0.20; 0.714;-1
58 ; 0.19; 0.711;-1
59 ; 0.19; 0.727;-1
60 ; 0.19; 0.729;-1
61 ; 0.21; 0.919;-1
62 ; 0.21; 0.939;-1
63 ; 0.19; 0.931;-1
64 ; 0.22; 0.93;-1
65 ; 0.21; 0.894;-1
66 ; 0.24; 1.236;-1
67 ; 0.24; 1.241;-1
68 ; 0.24; 1.197;-1
69 ; 0.22; 1.258;-1
70 ; 0.23; 1.261;-1
71 ; 0.27; 1.637;-1
72 ; 0.26; 1.573;-1
73 ; 0.26; 1.542;-1
74 ; 0.29; 1.562;-1
75 ; 0.26; 1.665;-1
76 ; 0.30; 2.128;-1
77 ; 0.30; 2.085;-1
78 ; 0.30; 2.06;-1
79 ; 0.30; 2.117;-1
80 ; 0.31; 2.057;-1
81 ; 0.33; 3.05;-1
82 ; 0.34; 2.959;-1
83 ; 0.32; 2.771;-1
84 ; 0.32; 2.759;-1
85 ; 0.32; 2.747;-1
86 ; 0.36; 3.727;-1
87 ; 0.40; 3.678;-1
88 ; 0.37; 3.654;-1
89 ; 0.36; 3.832;-1
90 ; 0.36; 3.831;-1
91 ; 0.35; 4.832;-1
92 ; 0.43; 4.274;-1
93 ; 0.42; 4.384;-1
94 ; 0.40; 4.961;-1
95 ; 0.41; 4.319;-1
96 ; 0.44; 5.541;-1
97 ; 0.46; 5.804;-1
98 ; 0.46; 5.671;-1
99 ; 0.49; 5.469;-1
100 ; 0.81; 9.798;-1
101 ; 0.64; 8.124;-1
102 ; 0.64; 8.549;-1
103 ; 0.49; 7.411;-1
104 ; 0.51; 6.774;-1
105 ; 0.49; 6.911;-1
106 ; 0.56; 8.531;-1
107 ; 0.55; 8.386;-1
108 ; 0.53; 8.504;-1
109 ; 0.59; 8.304;-1
110 ; 0.56; 8.93;-1
111 ; 0.58; 10.792;-1
112 ; 0.60; 10.325;-1
113 ; 0.53; 10.974;-1
114 ; 0.59; 10.727;-1
115 ; 0.58; 10.99;-1
116 ; 0.67; 13.157;-1
117 ; 0.65; 12.704;-1
118 ; 0.69; 12.588;-1
119 ; 0.68; 12.246;-1
120 ; 0.63; 12.9;-1
121 ; 0.70; 15.568;-1
122 ; 0.69; 15.238;-1
123 ; 0.70; 15.634;-1
124 ; 0.70; 15.246;-1
125 ; 0.71; 15.289;-1
126 ; 0.77; 17.97;-1
127 ; 0.72; 18.503;-1
128 ; 0.80; 18.456;-1
129 ; 0.67; 18.179;-1
130 ; 0.76; 18.228;-1
131 ; 0.80; 21.904;-1
132 ; 0.83; 22.857;-1
133 ; 0.72; 22.053;-1
134 ; 0.83; 22.463;-1
135 ; 0.78; 22.691;-1
136 ; 0.85; 25.134;-1
137 ; 0.92; 26.617;-1
138 ; 0.93; 24.15;-1
139 ; 0.85; 24.54;-1
140 ; 0.94; 25.18;-1
141 ; 1.00; 29.862;-1
142 ; 0.92; 30.455;-1
143 ; 1.04; 29.149;-1
144 ; 1.02; 29.153;-1
145 ; 0.97; 28.887;-1
146 ; 1.14; 33.613;-1
147 ; 1.08; 34.629;-1
148 ; 0.98; 34.359;-1
149 ; 1.02; -1 ;-1
150 ; 1.04; 35.268;-1
